id,popularity,budget,revenue,original_title,release_year,vote_count,vote_average,production company
135397,32.985763,150000000,1513528810,Jurassic World,2015,5562,6.5,Universal Studios
76341,28.419936,150000000,378436354,Mad Max: Fury Road,2015,6185,7.1,Village Roadshow Pictures
262500,13.112507,110000000,295238201,Insurgent,2015,2480,6.3,Summit Entertainment
140607,11.173104,200000000,2068178225,Star Wars: The Force Awakens,2015,5292,7.5,Lucasfilm
168259,9.335014,190000000,1506249360,Furious 7,2015,2947,7.3,Universal Pictures
281957,9.1107,135000000,532950503,The Revenant,2015,3929,7.2,Regency Enterprises
87101,8.654359,155000000,440603537,Terminator Genisys,2015,2598,5.8,Paramount Pictures
286217,7.6674,108000000,595380321,The Martian,2015,4572,7.6,Twentieth Century Fox Film Corporation
211672,7.404164999999999,74000000,1156730962,Minions,2015,2893,6.5,Universal Pictures
150540,6.326804,175000000,853708609,Inside Out,2015,3935,8.0,Walt Disney Pictures
206647,6.200282,245000000,880674609,Spectre,2015,3254,6.2,Columbia Pictures
76757,6.189369,176000003,183987723,Jupiter Ascending,2015,1937,5.2,Village Roadshow Pictures
264660,6.118847,15000000,36869414,Ex Machina,2015,2854,7.6,DNA Films
257344,5.984995,88000000,243637091,Pixels,2015,1575,5.8,Columbia Pictures
99861,5.944927,280000000,1405035767,Avengers: Age of Ultron,2015,4304,7.4,Marvel Studios
273248,5.8984,44000000,155760117,The Hateful Eight,2015,2389,7.4,Double Feature Films
260346,5.749758,48000000,325771424,Taken 3,2015,1578,6.1,Twentieth Century Fox Film Corporation
102899,5.573184,130000000,518602163,Ant-Man,2015,3779,7.0,Marvel Studios
150689,5.556818,95000000,542351353,Cinderella,2015,1495,6.8,Walt Disney Pictures
131634,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,2015,2380,6.5,Studio Babelsberg
158852,5.462138,190000000,209035668,Tomorrowland,2015,1899,6.2,Walt Disney Pictures
307081,5.337064,30000000,91709827,Southpaw,2015,1386,7.3,Escape Artists
254128,4.907832,110000000,470490832,San Andreas,2015,2060,6.1,New Line Cinema
216015,4.710401999999998,40000000,569651467,Fifty Shades of Grey,2015,1865,5.3,Focus Features
318846,4.648046,28000000,133346506,The Big Short,2015,1545,7.3,Paramount Pictures
177677,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,2015,2349,7.1,Paramount Pictures
214756,4.564549,68000000,215863606,Ted 2,2015,1666,6.3,Universal Pictures
207703,4.503789,81000000,403802136,Kingsman: The Secret Service,2015,3833,7.6,Twentieth Century Fox Film Corporation
314365,4.062293,20000000,88346473,Spotlight,2015,1559,7.8,Participant Media
294254,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,2015,1849,6.4,Gotham Group
280996,3.927333,0,29355203,Mr. Holmes,2015,425,6.4,BBC Films
198184,3.899557,49000000,102069268,Chappie,2015,1990,6.6,Columbia Pictures
254470,3.877764,29000000,287506194,Pitch Perfect 2,2015,1264,6.8,Universal Pictures
296098,3.64821,40000000,162610473,Bridge of Spies,2015,1638,7.1,DreamWorks SKG
257445,3.644541,58000000,150170815,Goosebumps,2015,600,6.2,Columbia Pictures
264644,3.557846,6000000,35401758,Room,2015,1520,8.0,Element Pictures
339527,3.358321,0,22354572,Solace,2015,474,6.2,Eden Rock Media
105864,3.339135,175000000,331926147,The Good Dinosaur,2015,1087,6.6,Walt Disney Pictures
241554,3.23737,50000000,71561644,Run All Night,2015,814,6.3,Vertigo Entertainment
167073,3.227329,11000000,62076141,Brooklyn,2015,754,7.3,Wildgaze Films
277216,3.202719,28000000,201634991,Straight Outta Compton,2015,918,7.7,New Line Cinema
274854,3.080505,90000000,140396650,The Last Witch Hunter,2015,879,5.6,Summit Entertainment
321697,3.0795220000000003,30000000,34441873,Steve Jobs,2015,1035,6.9,Universal Pictures
203801,3.053421,75000000,108145109,The Man from U.N.C.L.E.,2015,1548,7.0,Davis Entertainment
293863,3.025852,25000000,42629776,The Age of Adaline,2015,1221,7.3,Lakeshore Entertainment
325348,3.023253,10000000,14333790,Hardcore Henry,2015,396,5.9,Bazelevs Production
228161,2.976436,135000000,368871007,Home,2015,1060,6.9,Twentieth Century Fox Film Corporation
286565,2.968254,12000000,85512300,Paper Towns,2015,1252,6.2,Fox 2000 Pictures
265208,2.93234,30000000,0,Wild Card,2015,481,5.3,Current Entertainment
254320,2.885126,4000000,9064511,The Lobster,2015,638,6.6,Haut et Court
258480,2.883233,11800000,40272135,Carol,2015,562,7.1,Killer Films
257211,2.814802,35000000,194564672,The Intern,2015,1255,7.1,Waverly Films
253412,2.798017,55000000,203427584,Everest,2015,1172,6.7,Universal Pictures
